artist,author,gernes,heart,name,star,view,words
N/A,灰原悠 - Haibara Yuu,"Comedy,Harem,Romance,School Life,Web Novel", 425 ,Heibon na Ore to Hibon na Karera,4.8,172964,62283
N/A,羊山十一郎,"Comedy,Drama,Mystery,Psychological,Romance,School Life,Slice of Life", 159 ,Kaguya Wants to be Confessed to ~The Seven Mysteries of Shuchin Academy~,5,25909,18139
N/A,"Her Highness, Nightmare","Chinese Novel,Mystery,Psychological,Romance,Supernatural,Tragedy", 16 ,I've transmigrated into this movie before,3,2649,2228
Ishida Kana (石田可奈),Satou Tsutomu (佐島勤),"Action,Romance,School Life,Science Fiction,Shounen,Supernatural,Magic,Super Power", 1525 ,Mahouka Koukou no Rettousei,5,886049,377800
Nauribon,Jouchi Kazuma,"Action,Adventure,Comedy,Ecchi,Fantasy,Game,Harem,Romance,School Life,Science Fiction,Shounen,Slice of Life,Drama", 432 ,Kasou Ryouiki no Elysion,5,38731,70491
Teffish,Katanakaji,"Action,Adventure,Comedy,Fantasy,Harem,Magic", 315 ,Sainou (Gift) ga Nakute mo Boukensha ni Naremasu ka? ~ Zero kara Hajimaru “Seichou” Cheat ~,4.7,33844,9754
Gintarou,Ebisu Seiji,"Comedy,Ecchi,Harem,Romance", 353 ,"Người tôi thích là em gái, nhưng cũng không phải là em gái",4.9,37773,98126
N/A,Ăn Mày Đòi Rượu (Thảo Tửu Đích Khiếu Hoa Tử),"Chinese Novel,Romance,School Life,Slice of Life,Web Novel", 37 ,The Warmhearted You,4.4,8919,13179
Nekonabe Ao,Sazane Kei,"Action,Comedy,Ecchi,Fantasy,Romance,Shounen,Adapted to Manga", 340 ,"Kimi to Boku no Saigo no Senjo, Aruiha Sekai ga Hajimaru Seisen",4.9,27471,4106
Fuzichoco,Ryuusen Hirotsugu,"Action,Comedy,Fantasy,Gender Bender,Psychological", 237 ,Cô gái tự nhận mình là Học trò của Hiền giả,4.8,26912,15205
Soto (そと),Kimito Kogi (小木君人),"Fantasy,Romance,Drama,Magic", 183 ,Mori no Majyuu ni Hanataba wo,5,25998,27603
N/A,Hondou Yuuki,"Action,Adventure,Ecchi,Fantasy,Harem,Romance,Shounen,Web Novel", 145 ,Young God that Governs over Divine Armaments ~Chronicles of War God Struggle for His Harem on a Different World~,5,23459,12629
